Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Fingerprint1,Fingerprint2
1015,Library,no,N/A,no,0,585113055850954
1029,Ensign College,no,N/A,no,0,584971322024290
1085,SLCC Library Square,no,N/A,no,0,585110908379502
1231,SLCC South City,no,N/A,no,0,585093728297458
1263,Westminster,no,N/A,no,0,585357868755450
1491,SLCC Meadowbrook,no,N/A,no,0,584988501209526
1577,USU Salt Lake,no,N/A,no,0,584827439833518
1580,SLCC Main,no,N/A,no,0,584595511577138
1607,SLCC Herriman,no,N/A,no,0,583835301079404
1776,SLCC Jordan,no,N/A,no,0,584337812818440
1886,SLCC Miller,no,N/A,no,0,584951993063920
1908,UofU Sandy,no,N/A,no,0,585025007458736
2099,UVU Thanksgiving Point,no,N/A,no,0,585009973918118
521,WSU West,no,N/A,no,0,583556133491040
693,WSU Davis,no,N/A,no,0,584264802591244
745,SLCC West,no,N/A,no,0,584526793079186
746,SLCC Airport,no,N/A,no,0,584509613123970
760,USU Kaysville,no,N/A,no,0,584649201529344
780,WSU Farmington Station,no,N/A,no,0,584917636684108
966,Temple Square,no,N/A,no,0,585040041494996
